DelkaTrvani;ID;IDr;CisloPece;CisloPodstavce;CisloOchrannehoPoklopu;Vsazky;Sloupec1;Smena;Program;CasZahajeni;CasUkonceni;Batch01_GIN;Batch01_Lot;Batch01_WGHT;Batch01_stred;Batch01_cont;Batch01_Nazev;Batch01_CisloZakazky;Batch02_GIN;Batch02_Lot;Batch02_WGHT;Batch02_stred;Batch02_cont;Batch02_Nazev;Batch02_CisloZakazky;Batch03_GIN;Batch03_Lot;Batch03_WGHT;Batch03_stred;Batch03_cont;Batch03_Nazev;Batch03_CisloZakazky;Batch04_GIN;Batch04_Lot;Batch04_WGHT;Batch04_stred;Batch04_cont;Batch04_Nazev;Batch04_CisloZakazky;Batch05_GIN;Batch05_Lot;Batch05_WGHT;Batch05_stred;Batch05_cont;Batch05_Nazev;Batch05_CisloZakazky;Batch06_GIN;Batch06_Lot;Batch06_WGHT;Batch06_stred;Batch06_cont;Batch06_Nazev;Batch06_CisloZakazky;Batch07_GIN;Batch07_Lot;Batch07_WGHT;Batch07_stred;Batch07_cont;Batch07_Nazev;Batch07_CisloZakazky;Batch08_GIN;Batch08_Lot;Batch08_WGHT;Batch08_stred;Batch08_cont;Batch08_Nazev;Batch08_CisloZakazky;Batch09_GIN;Batch09_Lot;Batch09_WGHT;Batch09_stred;Batch09_cont;Batch09_Nazev;Batch09_CisloZakazky;Batch10_GIN;Batch10_Lot;Batch10_WGHT;Batch10_stred;Batch10_cont;Batch10_Nazev;Batch10_CisloZakazky;Batch11_GIN;Batch11_Lot;Batch11_WGHT;Batch11_stred;Batch11_cont;Batch11_Nazev;Batch11_CisloZakazky;Batch12_GIN;Batch12_Lot;Batch12_WGHT;Batch12_stred;Batch12_cont;Batch12_Nazev;Batch12_CisloZakazky;Plyn_Spotreba_Cyklus;OA_Spotreba_Cyklus;Zdroj;StatusProgramu;Reported;PosledniZmena;RadekVytvoren
41470;229;17;2;1;1.0;66P1X3;;A;3;09.10.2024 21:51;10.10.2024 9:22;xf12665500;728590.0;1014.0;b485;h091024003;VD;525438.0;xf12665500;728590.0;1114.0;b485;h091024002;VD;525438.0;xf12665500;728590.0;1020.0;b485;h091024001;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;175;58;1ESAB1;0;1.0;10.10.2024 9:22;09.10.2024 11:08
44342;237;18;2;1;1.0;66P1X4;;A;3;10.10.2024 15:52;11.10.2024 4:11;xf12665500;728590.0;946.0;b485;h101024048;VD;525438.0;xf12665500;728590.0;1110.0;b485;h101024045;VD;525438.0;xf12665500;728590.0;1080.0;b485;h101024044;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;165;59;1ESAB1;0;1.0;11.10.2024 4:11;10.10.2024 10:12
37486;244;19;2;1;1.0;66p1x5;;D;3;11.10.2024 10:34;11.10.2024 20:59;xf12665500;728590.0;1150.0;b485;h111024020;VD;525438.0;xf12665500;728590.0;950.0;b485;h111024023;VD;525438.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;148;52;1ESAB1;0;1.0;11.10.2024 20:59;11.10.2024 4:49
512811;118;2;3;2;10.0;08P2x1;;B;3;30.08.2024 11:17;05.09.2024 9:44;xf13085500;24429.0;998.0;B485;H040924046;VD;510696.0;xf13085500;24429.0;1048.0;B485;H040924047;VD;510696.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;202;86;1ESAB1;0;1.0;;
42894;131;3;2;2;10.0;sawp2x1;;D;3;05.09.2024 22:22;06.09.2024 10:17;XF12245501;28623.0;1002.0;B430;2;VD;510820.0;XF12665501;735145.0;1122.0;B430;H050924061;VD;510899.0;XF12665501;683180.0;1120.0;B430;H050924065;VD;510898.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;195;40;1ESAB1;0;1.0;;
48160;136;4;1;2;10.0;66P2X2;;C;3;06.09.2024 14:26;07.09.2024 3:49;xf12665500;735145.0;1044.0;b485;h050924064;VD;510899.0;xf12665500;735145.0;1138.0;b485;h050924156;VD;510899.0;xf12665500;735145.0;1120.0;b485;h050924155;VD;510899.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;181;66;1ESAB1;0;1.0;07.09.2024 3:49;
45350;228;15;2;2;10.0;66P2X1;;A;3;09.10.2024 14:17;10.10.2024 2:53;XF12665500;728590.0;1154.0;B485;H081024095;VD;525438.0;XF12665500;728590.0;1096.0;B485;H081024094;VD;525438.0;XF12665500;2962474.0;1058.0;B485;H091024004;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;185;68;1ESAB1;0;1.0;10.10.2024 2:53;09.10.2024 8:22
41914;234;16;2;2;10.0;sawp2x1;;D;3;10.10.2024 3:55;10.10.2024 15:34;XF12245501;28624.0;990.0;B430;2;VD;525892.0;XF12245501;28624.0;1042.0;B430;2;VD;525892.0;XF12245501;28624.0;984.0;B430;2;VD;525892.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;181;63;1ESAB1;0;1.0;10.10.2024 15:34;10.10.2024 3:53
42325;239;17;2;2;10.0;66P2X2;;A;3;10.10.2024 22:21;11.10.2024 10:07;xf12665500;728590.0;998.0;b485;h101024046;VD;525438.0;xf12665500;728590.0;1002.0;b485;h101024047;VD;525438.0;xf12665500;728590.0;950.0;b485;h101024049;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;175;67;1ESAB1;0;1.0;11.10.2024 10:07;10.10.2024 16:51
40510;245;18;2;2;10.0;66P2X3;;B;3;11.10.2024 15:50;12.10.2024 3:05;xf12665500;728590.0;1154.0;b485;h111024019;VD;525438.0;xf12665500;728590.0;1196.0;b485;h111024018;VD;525438.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;158;67;1ESAB1;0;1.0;12.10.2024 3:05;11.10.2024 13:25
54760;226;14;2;3;8.0;66p3x1;;B;3;09.10.2024 5:05;09.10.2024 20:17;XF12665500;728590.0;966.0;B485;H081024097;VD;525438.0;XF12665500;728590.0;1010.0;B485;H081024096;VD;525438.0;XF12665500;728590.0;1114.0;B485;H081024099;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;218;399;1ESAB1;0;1.0;09.10.2024 20:17;08.10.2024 19:53
53;233;16;2;3;8.0;66p3x3;;D;3;11.10.2024 4:14;11.10.2024 4:15;XF12665500;728590.0;1106.0;B485;H081024103;VD;525438.0;XF12665500;728590.0;1148.0;B485;H111024021;VD;525438.0;XF12665500;728590.0;1056.0;B485;H111024022;VD;525438.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;197;348;1ESAB1;0;1.0;11.10.2024 4:15;10.10.2024 3:50
41125;243;18;2;3;8.0;66p3x3;;D;3;11.10.2024 4:15;11.10.2024 15:41;XF12665500;728590.0;1106.0;B485;H081024103;VD;525438.0;XF12665500;728590.0;1148.0;B485;H111024021;VD;525438.0;XF12665500;728590.0;1056.0;B485;H111024022;VD;525438.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;182;328;1ESAB1;0;1.0;11.10.2024 15:41;11.10.2024 4:19
50985;157;5;0;5;4.0;sawp5x1;;C;3;12.09.2024 22:49;13.09.2024 12:59;XF12345501;56607.0;1055.0;B430;2;VD;513518.0;XF12345501;56607.0;1003.0;B430;2;VD;513518.0;XF12345501;56607.0;1000.0;B430;2;VD;513518.0;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;;;;;; ;;205;82;1ESAB1;0;1.0;13.09.2024 12:59;
58756;85;1;3;7;5.0;PRP7X1;;A;3;19.08.2024 11:29;20.08.2024 3:48;xf13312211;59540.0;850.0;b410;m190824012;Predtah;497130.0;xf13312211;59540.0;850.0;b410;m190824027;Predtah;497130.0;xf13312211;59540.0;850.0;b410;m190824040;Predtah;497130.0;xf13312211;59540.0;800.0;b410;m190824049;Predtah;497130.0;xf13312211;59540.0;880.0;b410;m190824055;Predtah;497130.0;xf13312211;59540.0;660.0;b410;m190824064;Predtah;497130.0;xf13312211;59540.0;560.0;b410;m190824067;Predtah;497130.0;xf13312211;59540.0;550.0;b410;m200824004;Predtah;497130.0;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;;;0.0;;; ;;74;121;1ESAB1;0;1.0;;
